"column","comment",join-group,onehot,category,continuous,format,map,days,age,expand,na-value
"docId","",,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
"iri","",,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
"curationType","",,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
"latestSearchDate","",,FALSE,FALSE,FALSE,"""%a %b %d %H:%M:%S %Z %Y""",FALSE,TRUE,TRUE,FALSE,""
"lastUpdated","",,FALSE,FALSE,FALSE,"""%a, %d %b %Y %H:%M:%S %z""",FALSE,TRUE,TRUE,FALSE,""
"lastAuthor","",,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
"context","",,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
"contextIri","",,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
"release","",,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
"geneOrVariant","",gene-symbol,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
"geneOmim",,,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
"disease","",,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
"omim","",,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
"mondo","",,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
"suggestedAssertion","",,FALSE,TRUE,FALSE,,TRUE,FALSE,FALSE,FALSE,""
"scorer","",,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
"preliminaryAssertion","",,FALSE,TRUE,FALSE,,TRUE,FALSE,FALSE,FALSE,""
"consensusAssertion","",,FALSE,TRUE,FALSE,,TRUE,FALSE,FALSE,FALSE,""
"status-assertion","",,FALSE,TRUE,FALSE,,TRUE,FALSE,FALSE,FALSE,""
"status-overall","",,FALSE,TRUE,FALSE,,TRUE,FALSE,FALSE,FALSE,""
"status-stg1","",,FALSE,TRUE,FALSE,,TRUE,FALSE,FALSE,FALSE,""
