column,comment,join-group,onehot,category,continuous,format,map,days,age,expand,na-value
docId,,,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
topicIri,,,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
curationType,,,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
latestSearchDate,,,FALSE,FALSE,FALSE,"%a %b %d %H:%M:%S %Z %Y",FALSE,TRUE,TRUE,FALSE,""
lastUpdated,,,FALSE,FALSE,FALSE,"%a, %d %b %Y %H:%M:%S %z",FALSE,TRUE,TRUE,FALSE,""
lastAuthor,,,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
context,,,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
contextIri,,,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
release,,,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
releaseDate,,,FALSE,FALSE,FALSE,"%a, %d %b %Y %H:%M:%S %z",FALSE,TRUE,TRUE,FALSE,""
geneOrVariant,,gene-symbol,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,
geneOmim,,,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
disease,,,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
omim,,,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
status-overall,,,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
status-stg1,,,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
status-stg2,,,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
status-scoring,,,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
outcome,,,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
outcomeScoringGroup,,,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
intervention,,,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
interventionScoringGroup,,,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
severity,,,FALSE,TRUE,FALSE,,TRUE,FALSE,FALSE,FALSE,""
likelihood,,,FALSE,TRUE,FALSE,,TRUE,FALSE,FALSE,FALSE,""
natureOfIntervention,,,FALSE,TRUE,FALSE,,TRUE,FALSE,FALSE,FALSE,""
effectiveness,,,FALSE,TRUE,FALSE,,TRUE,FALSE,FALSE,FALSE,""
overall,,,FALSE,TRUE,FALSE,,TRUE,FALSE,FALSE,FALSE,""
