column,value,frequency,map-name,map-value
severity,"2.0",172.0,severity-rank,2
severity,"1.0",27.0,severity-rank,1
severity,"3.0",20.0,severity-rank,3
likelihood,3C,81.0,likelihood-disease,0.7
likelihood,2C,57.0,likelihood-disease,0.23
likelihood,0D,24.0,likelihood-disease,0.005
likelihood,3A,14.0,likelihood-disease,0.7
likelihood,2A,9.0,likelihood-disease,0.23
likelihood,3N,8.0,likelihood-disease,0.7
likelihood,2D,6.0,likelihood-disease,0.23
likelihood,2N,5.0,likelihood-disease,0.23
likelihood,2B,4.0,likelihood-disease,0.23
likelihood,1C,3.0,likelihood-disease,0.025
likelihood,3D,3.0,likelihood-disease,0.7
likelihood,1A,2.0,likelihood-disease,0.025
likelihood,3B,2.0,likelihood-disease,0.7
likelihood,0A,1.0,likelihood-disease,0.005
likelihood,3C,81.0,likelihood-evidence-level,2
likelihood,2C,57.0,likelihood-evidence-level,2
likelihood,0D,24.0,likelihood-evidence-level,1
likelihood,3A,14.0,likelihood-evidence-level,4
likelihood,2A,9.0,likelihood-evidence-level,4
likelihood,3N,8.0,likelihood-evidence-level,0
likelihood,2D,6.0,likelihood-evidence-level,1
likelihood,2N,5.0,likelihood-evidence-level,0
likelihood,2B,4.0,likelihood-evidence-level,3
likelihood,1C,3.0,likelihood-evidence-level,2
likelihood,3D,3.0,likelihood-evidence-level,1
likelihood,1A,2.0,likelihood-evidence-level,4
likelihood,3B,2.0,likelihood-evidence-level,3
likelihood,0A,1.0,likelihood-evidence-level,4
effectiveness,2B,34.0,effectiveness-rank,2
effectiveness,2C,28.0,effectiveness-rank,2
effectiveness,3B,24.0,effectiveness-rank,3
effectiveness,0D,19.0,effectiveness-rank,0
effectiveness,3A,18.0,effectiveness-rank,3
effectiveness,2D,17.0,effectiveness-rank,2
effectiveness,3C,17.0,effectiveness-rank,3
effectiveness,2N,9.0,effectiveness-rank,2
effectiveness,3D,8.0,effectiveness-rank,3
effectiveness,2A,8.0,effectiveness-rank,2
effectiveness,1D,8.0,effectiveness-rank,1
effectiveness,3N,7.0,effectiveness-rank,3
effectiveness,0C,6.0,effectiveness-rank,0
effectiveness,IN,4.0,effectiveness-rank,0
effectiveness,1B,3.0,effectiveness-rank,1
effectiveness,1A,3.0,effectiveness-rank,1
effectiveness,1C,3.0,effectiveness-rank,1
effectiveness,1N,1.0,effectiveness-rank,1
effectiveness,0B,1.0,effectiveness-rank,0
effectiveness,0A,1.0,effectiveness-rank,0
effectiveness,2B,34.0,effectiveness-evidence-level,3
effectiveness,2C,28.0,effectiveness-evidence-level,2
effectiveness,3B,24.0,effectiveness-evidence-level,3
effectiveness,0D,19.0,effectiveness-evidence-level,1
effectiveness,3A,18.0,effectiveness-evidence-level,4
effectiveness,2D,17.0,effectiveness-evidence-level,1
effectiveness,3C,17.0,effectiveness-evidence-level,2
effectiveness,2N,9.0,effectiveness-evidence-level,0
effectiveness,3D,8.0,effectiveness-evidence-level,1
effectiveness,2A,8.0,effectiveness-evidence-level,4
effectiveness,1D,8.0,effectiveness-evidence-level,1
effectiveness,3N,7.0,effectiveness-evidence-level,0
effectiveness,0C,6.0,effectiveness-evidence-level,2
effectiveness,IN,4.0,effectiveness-evidence-level,0
effectiveness,1B,3.0,effectiveness-evidence-level,3
effectiveness,1A,3.0,effectiveness-evidence-level,4
effectiveness,1C,3.0,effectiveness-evidence-level,2
effectiveness,1N,1.0,effectiveness-evidence-level,0
effectiveness,0B,1.0,effectiveness-evidence-level,3
effectiveness,0A,1.0,effectiveness-evidence-level,4
overall,10CB,13.0,overall-rank,10
overall,7CD,12.0,overall-rank,7
overall,8CB,12.0,overall-rank,8
overall,9CC,11.0,overall-rank,9
overall,10CA,10.0,overall-rank,10
overall,9CB,10.0,overall-rank,9
overall,10CC,7.0,overall-rank,10
overall,8CD,6.0,overall-rank,8
overall,9CD,6.0,overall-rank,9
overall,9CA,5.0,overall-rank,9
overall,11CB,5.0,overall-rank,11
overall,11CC,5.0,overall-rank,11
overall,6DC,5.0,overall-rank,6
overall,7DC,5.0,overall-rank,7
overall,9CN,4.0,overall-rank,9
overall,7CC,4.0,overall-rank,7
overall,7DD,4.0,overall-rank,7
overall,IN,4.0,overall-rank,0
overall,9AB,3.0,overall-rank,9
overall,8ND,3.0,overall-rank,8
overall,8AA,3.0,overall-rank,8
overall,10CN,3.0,overall-rank,10
overall,10AA,3.0,overall-rank,10
overall,10CD,3.0,overall-rank,10
overall,8AD,3.0,overall-rank,8
overall,9BB,3.0,overall-rank,9
overall,8CC,3.0,overall-rank,8
overall,10AB,3.0,overall-rank,10
overall,5DC,2.0,overall-rank,5
overall,8AB,2.0,overall-rank,8
