column,value,frequency,map-name,map-value
severity,2.0,107.0,severity-rank,2
severity,3.0,19.0,severity-rank,3
severity,1.0,18.0,severity-rank,1
likelihood,3C,67.0,likelihood-disease,0.7
likelihood,2C,34.0,likelihood-disease,0.23
likelihood,3N,11.0,likelihood-disease,0.7
likelihood,3A,8.0,likelihood-disease,0.7
likelihood,0D,6.0,likelihood-disease,0.005
likelihood,2N,4.0,likelihood-disease,0.23
likelihood,3D,3.0,likelihood-disease,0.7
likelihood,1C,3.0,likelihood-disease,0.025
likelihood,2A,3.0,likelihood-disease,0.23
likelihood,2B,2.0,likelihood-disease,0.23
likelihood,0C,2.0,likelihood-disease,0.005
likelihood,2D,1.0,likelihood-disease,0.23
likelihood,3C,67.0,likelihood-evidence-level,2
likelihood,2C,34.0,likelihood-evidence-level,2
likelihood,3N,11.0,likelihood-evidence-level,0
likelihood,3A,8.0,likelihood-evidence-level,4
likelihood,0D,6.0,likelihood-evidence-level,1
likelihood,2N,4.0,likelihood-evidence-level,0
likelihood,3D,3.0,likelihood-evidence-level,1
likelihood,1C,3.0,likelihood-evidence-level,2
likelihood,2A,3.0,likelihood-evidence-level,4
likelihood,2B,2.0,likelihood-evidence-level,3
likelihood,0C,2.0,likelihood-evidence-level,2
likelihood,2D,1.0,likelihood-evidence-level,1
natureOfIntervention,2.0,69.0,natureOfIntervention-rank,2
natureOfIntervention,3.0,68.0,natureOfIntervention-rank,3
natureOfIntervention,1.0,7.0,natureOfIntervention-rank,1
effectiveness,2B,33.0,effectiveness-rank,2
effectiveness,3B,16.0,effectiveness-rank,3
effectiveness,2C,18.0,effectiveness-rank,2
effectiveness,2A,13.0,effectiveness-rank,2
effectiveness,3C,12.0,effectiveness-rank,3
effectiveness,2N,9.0,effectiveness-rank,2
effectiveness,3A,9.0,effectiveness-rank,3
effectiveness,0D,7.0,effectiveness-rank,0
effectiveness,3D,5.0,effectiveness-rank,3
effectiveness,2D,5.0,effectiveness-rank,2
effectiveness,3N,4.0,effectiveness-rank,3
effectiveness,0C,3.0,effectiveness-rank,0
effectiveness,1B,2.0,effectiveness-rank,1
effectiveness,1C,2.0,effectiveness-rank,1
effectiveness,1D,2.0,effectiveness-rank,1
effectiveness,1N,1.0,effectiveness-rank,1
effectiveness,0B,1.0,effectiveness-rank,0
effectiveness,0A,1.0,effectiveness-rank,0
effectiveness,0N,1.0,effectiveness-rank,0
effectiveness,2B,33.0,effectiveness-evidence-level,3
effectiveness,3B,16.0,effectiveness-evidence-level,3
effectiveness,2C,18.0,effectiveness-evidence-level,2
effectiveness,2A,13.0,effectiveness-evidence-level,4
effectiveness,3C,12.0,effectiveness-evidence-level,2
effectiveness,2N,9.0,effectiveness-evidence-level,0
effectiveness,3A,9.0,effectiveness-evidence-level,4
effectiveness,0D,7.0,effectiveness-evidence-level,1
effectiveness,3D,5.0,effectiveness-evidence-level,1
effectiveness,2D,5.0,effectiveness-evidence-level,1
effectiveness,3N,4.0,effectiveness-evidence-level,0
effectiveness,0C,3.0,effectiveness-evidence-level,2
effectiveness,1B,2.0,effectiveness-evidence-level,3
effectiveness,1C,2.0,effectiveness-evidence-level,2
effectiveness,1D,2.0,effectiveness-evidence-level,1
effectiveness,1N,1.0,effectiveness-evidence-level,0
effectiveness,0B,1.0,effectiveness-evidence-level,3
effectiveness,0A,1.0,effectiveness-evidence-level,4
effectiveness,0N,1.0,effectiveness-evidence-level,0
overall,10AA,1.0,overall-rank,10
overall,10AB,1.0,overall-rank,10
overall,10BA,1.0,overall-rank,10
overall,10CA,5.0,overall-rank,10
overall,10CB,12.0,overall-rank,10
overall,10CC,3.0,overall-rank,10
overall,10CD,2.0,overall-rank,10
overall,10CN,1.0,overall-rank,10
overall,10NB,1.0,overall-rank,10
overall,10NC,4.0,overall-rank,10
overall,10NN,3.0,overall-rank,10
overall,11CA,3.0,overall-rank,11
overall,11CB,4.0,overall-rank,11
overall,11CC,3.0,overall-rank,11
overall,11CD,1.0,overall-rank,11
overall,11CN,2.0,overall-rank,11
overall,11NB,1.0,overall-rank,11
overall,12CA,1.0,overall-rank,12
overall,12CB,1.0,overall-rank,12
overall,12CC,2.0,overall-rank,12
overall,3CC,1.0,overall-rank,3
overall,4DD,1.0,overall-rank,4
overall,5CB,1.0,overall-rank,5
overall,6CD,1.0,overall-rank,6
overall,6DC,1.0,overall-rank,6
overall,6DD,1.0,overall-rank,6
overall,7AA,1.0,overall-rank,7
overall,7CC,2.0,overall-rank,7
overall,7CD,2.0,overall-rank,7
overall,7DC,1.0,overall-rank,7
overall,7DD,1.0,overall-rank,7
overall,7DN,1.0,overall-rank,7
overall,7NN,1.0,overall-rank,7
overall,8AB,2.0,overall-rank,8
overall,8AC,1.0,overall-rank,8
overall,8CA,4.0,overall-rank,8
overall,8CB,8.0,overall-rank,8
overall,8CC,5.0,overall-rank,8
overall,8CD,6.0,overall-rank,8
overall,8CN,2.0,overall-rank,8
overall,8DB,1.0,overall-rank,8
overall,8NB,1.0,overall-rank,8
overall,8ND,1.0,overall-rank,8
overall,9AB,3.0,overall-rank,9
overall,9AC,2.0,overall-rank,9
overall,9BB,1.0,overall-rank,9
overall,9CA,7.0,overall-rank,9
overall,9CB,12.0,overall-rank,9
overall,9CC,7.0,overall-rank,9
overall,9CD,3.0,overall-rank,9
overall,9CN,5.0,overall-rank,9
overall,9DB,3.0,overall-rank,9
overall,9NC,3.0,overall-rank,9
