"column","comment",join-group,onehot,category,continuous,format,map,days,age,expand,na-value
"AlleleID","A unique integer identifier, the Allele ID, is assigned to each individual variant in ClinVar.",,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,""
"Type","The type of mutation (Indel, Deletion, SNV, etc.)",,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
"Name","Name of variant using standard nomenclatures (transcript, gene, cDNA change, protein change)",,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
"GeneID",The Entrez ID for the gene.,,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
"GeneSymbol",The official HGNC gene symbol of the gene associated with the variant (need to verify),gene-symbol,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
"HGNC_ID",Then HGNC ID of the gene associated with the variant (e.g. HGNC:22197).,hgnc-id,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
"ClinicalSignificance",The clinical significance of the variant as text value including modifiers.,,FALSE,TRUE,FALSE,,TRUE,FALSE,FALSE,FALSE,""
"ClinSigSimple","Simple numeric value for clinical significance (1 Path, 0 Benign/Uncertain, -1 No interpretation)",,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
"LastEvaluated","The date the variant was last evaluated by the submitter.",,FALSE,FALSE,FALSE,"%b %d, %Y",FALSE,TRUE,TRUE,FALSE,""
"RS# (dbSNP)","Integer, rs# in dbSNP, reported as -1 if missing",,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
"nsv/esv (dbVar)","The NSV identifier for the region in dbVar, '-' if missing.",,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
"RCVaccession","List of RCV accessions that report this variant",,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
"PhenotypeIDS","List of identifiers for phenotype(s) interpreted for this variant. If more than 5 conditions are reported, the number of conditions is reported instead.",,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
"PhenotypeList","List of names corresponding to PhenotypeIDs. If more than 5 conditions are reported, the number of condition is reported instead.",,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
"Origin","The origin of variant and sample, such as germine vs. somatic, de novo vs. inherited (biparental, maternal, paternal)",,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
"OriginSimple","Simplified origin of variant (germine, somatic, germline/somatic, unknown, not provided, tested-inconclusive).",,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
"Assembly","The reference squence standard of the variant (GRCh38, GRCh37, NCBI36, na).",,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
"ChromosomeAccession","The chromosome reference build (e.g. NC_000007.13)",,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
"Chromosome","Chromosome name/identifier including 1-22, X, Y, Mitochondrial (Mt) and Unknown (Un).",,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
"Start","Integer, starting location, right-shifted, in pter->qter orientation",,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
"Stop","Integer, end location, right-shifted, in pter->qter orientation",,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
"ReferenceAllele","The wild type nucleotide sequence of the variant, using the right-shifted location in Start and Stop.",,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
"AlternateAllele","The alternate nucleotide values of the variant using the right-shifted location in Start and Stop.",,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
"Cytogenetic","The chromosomal location of the variant (e.g. 7p22.1) (ISCN band)",,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
"ReviewStatus","A short description indicating whether or not evaluation criteria are submitted, whether there is just one or mutliple submitters, whether submissions are conflicting across submitters, and whether reviewed by an expert panel. Highest review status for reporting this measure. For the key to the terms, and their relationship to the star graphics ClinVar displays on its web pages, see http://www.ncbi.nlm.nih.gov/clinvar/docs/variation_report/#interpretation Note also that 'no interpretation for the single variant' is used for AlleleIDs in ClinVar that were submitted as part of the definition of a complex allele, but not interpreted individually.",,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,""
"NumberSubmitters","How many submitters have uploaded an assertion for the variant.",,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
"Guidelines","The guideline standard(s) applied to the assertion by the submitter (e.g. ACMG2021,ACMG2022).",,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
"TestedInGTR","Y/N for Yes/No if there is a test registered as specific to this variant in the NIH Genetic Testing Registry (GTR).",,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
"OtherIDs","List of other identifiers or sources of information about this variant.",,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
"SubmitterCategories","Value to indicate whether data were submitted by another resource (1), any other type of source (2), both (3), or none (4).",,FALSE,TRUE,FALSE,,TRUE,FALSE,FALSE,FALSE,""
"VariationID","ClinVar assigns a unique integer identifier to each set of variants described in submitted records. The majority of submitted records in ClinVar interpret a single variant, and a Variation ID is assigned even if there is only one variant in the set. There are two subclasses of Variation IDs: (1) those being interpreted directly (interpreted), (2) those being interpreted only in the context of a set of variants (included). Used to link for VRS identifiers. The identifier ClinVar uses specific to the AlleleID.  Not all VariationIDS that may be related to the AlleleID are reported in this file. For a comprehensive mapping of AlleleID to VariationID, please use ftp://ftp.ncbi.nlm.nih.gov/pub/clinvar/tab_delimited/variation_allele.txt.gz.",variation-id,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,""
"PositionVCF","Integer, starting location, left-shifted, in pter->qter orientation",,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
"ReferenceAlleleVCF","The reference allele using the left-shifted location in vcf_pos.",,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
"AlternateAlleleVCF","The alternate allele using the left-shifted location in vcf_pos.",,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
"SomaticClinicalImpact","",,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
"SomaticClinicalImpactLastEvaluated","",,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
"ReviewStatusClinicalImpact","",,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
"Oncogenicity","",,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
"OncogenicityLastEvaluated","",,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
"ReviewStatusOncogenicity","",,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,""
