column,value,frequency,map-name,map-value
ClinicalSignificance,Uncertain significance,2200764,clin-sig-confidence-rank,0.5
ClinicalSignificance,Likely benign,1213912,clin-sig-confidence-rank,0.1
ClinicalSignificance,Benign,411799,clin-sig-confidence-rank,0.01
ClinicalSignificance,Pathogenic,297732,clin-sig-confidence-rank,0.99
ClinicalSignificance,Conflicting interpretations of pathogenicity,205883,clin-sig-confidence-rank,0.5
ClinicalSignificance,Likely pathogenic,139249,clin-sig-confidence-rank,0.9
ClinicalSignificance,Benign/Likely benign,75382,clin-sig-confidence-rank,0.05
ClinicalSignificance,Pathogenic/Likely pathogenic,39323,clin-sig-confidence-rank,0.95
ClinicalSignificance,not provided,22039,clin-sig-confidence-rank,-0.01
ClinicalSignificance,drug response,3800,clin-sig-confidence-rank,-0.01
ClinicalSignificance,other,3248,clin-sig-confidence-rank,-0.01
ClinicalSignificance,no interpretation for the single variant,1462,clin-sig-confidence-rank,-0.01
ClinicalSignificance,risk factor,930,clin-sig-confidence-rank,0.9
ClinicalSignificance,association,726,clin-sig-confidence-rank,-0.01
ClinicalSignificance,conflicting data from submitters,312,clin-sig-confidence-rank,0.5
ClinicalSignificance,Affects,299,clin-sig-confidence-rank,-0.01
ClinicalSignificance,Uncertain significance/Uncertain risk allele,250,clin-sig-confidence-rank,0.5
ClinicalSignificance,Likely risk allele,192,clin-sig-confidence-rank,0.9
ClinicalSignificance,Pathogenic; other,159,clin-sig-confidence-rank,0.99
ClinicalSignificance,Pathogenic; drug response,109,clin-sig-confidence-rank,0.99
ClinicalSignificance,protective,93,clin-sig-confidence-rank,-0.01
ClinicalSignificance,Uncertain risk allele,61,clin-sig-confidence-rank,0.5
ClinicalSignificance,Pathogenic; risk factor,60,clin-sig-confidence-rank,0.95
ClinicalSignificance,Conflicting interpretations of pathogenicity; other,48,clin-sig-confidence-rank,0.5
ClinicalSignificance,Likely pathogenic/Likely risk allele,40,clin-sig-confidence-rank,0.9
ClinicalSignificance,Likely pathogenic; drug response,34,clin-sig-confidence-rank,0.9
ClinicalSignificance,Conflicting interpretations of pathogenicity; risk factor,32,clin-sig-confidence-rank,0.5
ClinicalSignificance,Benign; other,26,clin-sig-confidence-rank,0.01
